Name,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning,Color_R,Color_G,Color_B,,
levator_scapulae_right,SCT,123037004,Anatomical Structure,SCT,11327007,Levator scapulae muscle,SCT,24028007,Right,,,,,,,,,,,
levator_scapulae_left,SCT,123037004,Anatomical Structure,SCT,11327007,Levator scapulae muscle,SCT,7771000,Left,,,,,,,,,,,
anterior_scalene_right,SCT,123037004,Anatomical Structure,SCT,50755001,Scalenus anterior muscle,SCT,24028007,Right,,,,,,,,,,,
anterior_scalene_left,SCT,123037004,Anatomical Structure,SCT,50755001,Scalenus anterior muscle,SCT,7771000,Left,,,,,,,,,,,
middle_scalene_right,SCT,123037004,Anatomical Structure,SCT,38630006,Scalenus medius muscle ,SCT,24028007,Right,,,,,,,,,,,
middle_scalene_left,SCT,123037004,Anatomical Structure,SCT,38630006,Scalenus medius muscle ,SCT,7771000,Left,,,,,,,,,,,
posterior_scalene_right,SCT,123037004,Anatomical Structure,SCT,58162002,Scalenus posterior muscle,SCT,24028007,Right,,,,,,,,,,,
posterior_scalene_left,SCT,123037004,Anatomical Structure,SCT,58162002,Scalenus posterior muscle,SCT,7771000,Left,,,,,,,,,,,
sterno_thyroid_right,SCT,123037004,Anatomical Structure,SCT,1087003,Sternothyroid muscle,SCT,24028007,Right,,,,,,,,,,,
sterno_thyroid_left,SCT,123037004,Anatomical Structure,SCT,1087003,Sternothyroid muscle,SCT,7771000,Left,,,,,,,,,,,
thyrohyoid_right,SCT,123037004,Anatomical Structure,SCT,113226007,Thyrohyoid muscle,SCT,24028007,Right,,,,,,,,,,,
thyrohyoid_left,SCT,123037004,Anatomical Structure,SCT,113226007,Thyrohyoid muscle,SCT,7771000,Left,,,,,,,,,,,
prevertebral_right,SCT,123037004,Anatomical Structure,SCT,714472006,Anterior vertebral muscle of neck,SCT,24028007,Right,,,,,,,,,,,
prevertebral_left,SCT,123037004,Anatomical Structure,SCT,714472006,Anterior vertebral muscle of neck,SCT,7771000,Left,,,,,,,,,,,
